Nombre,Descripción,Ranking,Turbobit,1Fitchier,Mega
Avengers: Infinity War (2018),Los Vengadores y sus aliados deben estar dispuestos a sacrificar todo en el intento de derrotar al poderoso Thanos antes de que su plan de devastación y ruina ponga fin al universo. Universo Marvel,8.7/10,https://turbobit.net/6nwozrqovnp3.html,https://1fichier.com/?09ak9onhrcbvykkpj60a&af=2942360,https://mega.nz/#!uORhDaqK!1SljStiSj2qswWaCdHfVPf3CXb20z_WvbnRHgeWeZUg
Avengers: Endgame (2019),Después de la devastadora lucha contra Thanos  el universo queda en ruinas. Con la ayuda de los aliados restantes  los Vengadores se juntan una vez más para intentar revertir las acciones de Thanos y restaurar el balance al universo. Universo Marvel,8.7/10,https://turbobit.net/9n9em6owgw67.html,https://1fichier.com/?ttudta0eua7z1zkb6p93&af=2942360,https://mega.nz/#!DgtVRazY!QUEwi_CChGvGy839fmhL49P1PzQCEH_QNYeHe6a63pc
Spider-Man: Un nuevo universo (2018),El joven Miles Morales se convierte en el Spider-man de su realidad  cruzando su camino con varias contrapartes de otras dimensiones para detener un peligro que amenaza a todas las realidades.,8.6/10,https://turbobit.net/pji65qk91sfn.html,https://1fichier.com/?x9gb71qsehusbv4sx17p&af=2942360,https://mega.nz/#!QRExyKRL!FLqC8UBcNxizuAmrmb1PvaN0XUSzUhuf7fSSCN2qNt0
Bohemian Rhapsody: La historia de Freddie Mercury (2018),La historia de la legendaria banda de rock Queen y de su cantante Freddie Mercury  llevando hasta su famosa presentación en el concierto Live Aid de 1985.,8.2/10,https://turbobit.net/rnfbovxgulgl.html,https://1fichier.com/?0wvnqwklsmodm857b6ct&af=2942360,https://mega.nz/#!n51F2IaA!B25i29-MkphwqarlmzYxE6iQ0MThvS44epqxQ1SHRws
John Wick 3: Parabellum (2019),John Wick escapa luego de matar a un miembro de la asociación internacional de asesinos y  con una recompensa de 14 millones de dólares por su cabeza  es el objetivo de sicarios en todas partes. Trilogía John Wick,7.9/10,https://turbobit.net/xq2v3ormx8cx.html,https://1fichier.com/?3jma73ajcam4yj6co2q7&af=2942360,https://mega.nz/#!TwNngAQa!R112h9756GQmZioU9LdxYoxgL4eq2PtsD7y1hyvyFfU
Spider-Man: Lejos de casa (2019),Luego de los eventos de Avengers Endgame  Peter Parker viaja con sus compañeros a Europa donde debe prepararse para enfrentar nuevas amenazas en un mundo que ha cambiado para siempre. Universo Marvel,7.8/10,https://turbobit.net/uwz4viw6urvi.html,https://1fichier.com/?8gvq1efda4028819q2cq&af=2942360,https://mega.nz/#!bhtTwQYR!02jJ9VxizoeGgW7_Woh_z3pXQrd1YjltfY1wYiZUO2s
Rocketman (2019),Una fantasía musical sobre la increíble historia de Elton John. El fantástico viaje de transformación de un tímido prodigio del piano en una súper estrella.,7.5/10,https://turbobit.net/iquntsf5b50l.html,https://1fichier.com/?d8hrxd2u6zcoejdggorw&af=2942360,https://mega.nz/#!2mgnWK4B!oms9xAnNWb7u6fhWdz5inznkv3JUKa2W5csZSRRxDGA
Battle Angel: La última guerrera (2019),Alita es una cyborg creada durante una era de desesperación que fue desactivada y ahora es revivida  pero no logra recordar nada de su anterior vida y se embarca en una misión para averiguar quién es.,7.5/10,https://turbobit.net/jx3iy0y5v351.html,https://1fichier.com/?zfx7pqwe5reoujdab2rv&af=2942360,https://mega.nz/#!TyBkGQaR!lXnPps44-EPHi1ssC3qFTpIddq85olaZdDfmRIwz61s
Aquaman (2018),Arthur  mitad humano mitad atlante y heredero del reino submarino de la Atlántida  se embarca en la misión de impedir una guerra entre los mundos del océano y la tierra.,7.3/10,https://turbobit.net/3rbwzfx0uuau.html,https://1fichier.com/?7zajzvst9v5v172yq5iv&af=2942360,https://mega.nz/#!FEslCQ6L!GDclXgx9HzYcPctT0NwYfbwiFZqEqoEyTLjuaxXIM3o
¡Shazam! (2019),Todos tenemos un superhéroe en nuestro interior  solo necesita un poco de magia para salir. En el caso de Billy Batson  con la palabra Shazam este adolescente se transforma en un superhéroe adulto.,7.3/10,https://turbobit.net/on2j6ia173h3.html,https://1fichier.com/?jz2id8dfftv4azpzjctg&af=2942360,https://mega.nz/#!5ZcDXYRR!QyYG4ZitgteflFeqtQeZ1PJZJfzhJqkWZcPJ4abU8yY
Aladdín (2019),Un joven callejero de noble corazón anhela el amor de la hermosa princesa Jasmine. Cuando consigue una lámpara mágica  usa los poderes del genio para convertirse en un príncipe.,7.2/10,https://turbobit.net/4umwo44tak6c.html,https://1fichier.com/?uhtnz75s3ormivewbeca&af=2942360,https://mega.nz/#!QEdHzYSY!aFmLKUCHUOfmsrPTI2wNg2XAImANJ3IJpeqm2kexfvU
Batman: Hush (2019),Batman se propone descubrir la identidad de una mente maestra utilizando enemigos y aliados como peones en un plan para causar caos. Una adaptación de la historia creada por Jeph Loeb y Jim Lee.,7.1/10,https://turbobit.net/8x93j4m72ea6.html,https://1fichier.com/?w3mbbikpmbh99iupo58n&af=2942360,https://mega.nz/#!riATiKbK!hb3D2OPAsLD2YRduF3GzRQvkkYxzPigRyF21nmdpBcI
La mula (2018),Un anciano horticultor y veterano de la guerra de Corea enfrenta problemas financieros  así que acepta un trabajo que solo requiere conducir para un cartel de drogas mexicano. Inspirada en una historia real.,7.1/10,https://turbobit.net/7f3dtju9vrnw.html,https://1fichier.com/?alfhupwxtzhnyz8ckt3d&af=2942360,https://mega.nz/#!n5AUlAQR!atzIOymkPZzFbXB-PNVne6bj0VOih4ijsFoXvI-3lQs
Bumblebee (2018),En 1987  Bumblebee encuentra refugio en un depósito de chatarra en un pequeño pueblo de California. Charlie  a punto de cumplir 18 y queriendo hallar su lugar en el mundo  lo encuentra  averiado y deteriorado. Serie Transformers,7.1/10,https://turbobit.net/q63nzzb5wux0.html,https://1fichier.com/?0rx85dr1qlsr0ktdknlu&af=2942360,https://mega.nz/#!JclxWI4L!2KasPAkDdgtcOHjomRqPxhpzx1F7ADjoBsds9awqVQE
Capitana Marvel (2019),Carol Danvers se convierte en uno los héroes más poderosos del universo cuando la Tierra queda atrapada en medio de una guerra galáctica entre dos razas alienígenas. Universo Marvel,7.1/10,https://turbobit.net/wbff5wfi57xl.html,https://1fichier.com/?xaois4opbq01oon63ywe&af=2942360,https://mega.nz/#!lU0lVQ6S!QweceUOHYR3L9gXlF6f7GG6lJu5bDnEEcWueYPXmQgQ
