Nombre,Descripción,Ranking,Turbobit,1Fitchier,Mega
Avengers: Endgame (2019),Después de la devastadora lucha contra Thanos  el universo queda en ruinas. Con la ayuda de los aliados restantes  los Vengadores se juntan una vez más para intentar revertir las acciones de Thanos y restaurar el balance al universo. Universo Marvel,8.7/10,https://turbobit.net/9n9em6owgw67.html,https://1fichier.com/?ttudta0eua7z1zkb6p93&af=2942360,https://mega.nz/#!DgtVRazY!QUEwi_CChGvGy839fmhL49P1PzQCEH_QNYeHe6a63pc
Avengers: Infinity War (2018),Los Vengadores y sus aliados deben estar dispuestos a sacrificar todo en el intento de derrotar al poderoso Thanos antes de que su plan de devastación y ruina ponga fin al universo. Universo Marvel,8.7/10,https://turbobit.net/6nwozrqovnp3.html,https://1fichier.com/?09ak9onhrcbvykkpj60a&af=2942360,https://mega.nz/#!uORhDaqK!1SljStiSj2qswWaCdHfVPf3CXb20z_WvbnRHgeWeZUg
Spider-Man: Un nuevo universo (2018),El joven Miles Morales se convierte en el Spider-man de su realidad  cruzando su camino con varias contrapartes de otras dimensiones para detener un peligro que amenaza a todas las realidades.,8.6/10,https://turbobit.net/pji65qk91sfn.html,https://1fichier.com/?x9gb71qsehusbv4sx17p&af=2942360,https://mega.nz/#!QRExyKRL!FLqC8UBcNxizuAmrmb1PvaN0XUSzUhuf7fSSCN2qNt0
Logan (2017),En un futuro cercano la población mutante ha disminuido bastante  Logan está desgastado y cuidando al Profesor X en algún lugar de la frontera mexicana. Sin embargo  sus intentos de esconderse del mundo no son suficientes cuando llega una joven mutante perseguida por fuerzas oscuras. Serie X-Men,8.4/10,https://turbobit.net/ua7fe69d8nlf.html,https://1fichier.com/?oqqrlmhe425ap3zsp65b&af=2942360,https://mega.nz/#!z9dVzKRI!5usd0YbSlAwtJJ7duylbwMiIPR1rGhHt6bwyXtU2H1s
Aliens: El regreso (1986),La luna de donde Ellen Ripley logró escapar ha sido colonizada pero las comunicaciones se cortaron misteriosamente. La Compañía enlista a Ripley para asesorar a un equipo de rescate con gran armamento... ¿será suficiente?. NOTA: Versión extendida  las partes adicionales están en inglés. Usar subtítulos forzados al ver con el idioma doblado. Serie Alien,8.4/10,https://turbobit.net/vspnr18uyuhg.html,https://1fichier.com/?6jj2fi9hemkzdcu931f7&af=2942360,https://mega.nz/#!LZdkFIIB!siUzHDuibRs_hNlMP6gS6Ju66fCGFpjK3AVRSXa7QGE
Dunkerque (2017),Soldados aliados de Bélgica  el Imperio Británico y Francia están rodeados por el ejército alemán y se intenta evacuarlos en una feroz batalla en Dunkerque  Francia  durante la Segunda Guerra Mundial.,8.3/10,https://turbobit.net/p0csynbh6aes.html,https://1fichier.com/?z6pvvt2tpid9hn3gxcsn&af=2942360,https://mega.nz/#!J6xmyQZA!33OBhq58irXcqHqYkCU9-HWu_4D6MrUtAFT5iTb7Vco
Hasta el último hombre (2016),Desmond T. Doss  un médico del ejército estadounidense que sirvió durante la Batalla de Okinawa en la Segunda Guerra Mundial  se rehúsa a matar gente  y se convierte en el primer hombre en la historia del país en recibir la Medalla de Honor sin haber hecho un solo disparo.,8.3/10,https://turbobit.net/njg18hyk0ylp.html,https://1fichier.com/?boj1eh9bw4ipbedxdwrf&af=2942360,https://mega.nz/#!CiQGTZrT!sTH2hFxzuI8Y8xu30UgSC3GY5fHhgL1TJHSP2lMZtec
Zootopia (2016),La ciudad de Zootopia es una metrópolis de animales donde todos conviven y prosperan. Judy  una novata coneja en la fuerza policial  descubre lo difícil que es hacer respetar la ley. Entonces debe trabajar junto a Nick  un zorro artista del engaño  para resolver un misterioso caso.,8.3/10,https://turbobit.net/gk84r2m2kqtx.html,https://1fichier.com/?eowsn2td71bp544n9r48&af=2942360,https://mega.nz/#!kOplhS7D!EaFw_xq0jUKvSYCTuP5YKxICaRPC0mNItAGEGc6MXO8
Deadpool (2016),Wade Wilson  un ex-operativo de las Fuerzas Especiales convertido en mercenario es sujeto de un experimento clandestino que lo deja con poderes acelerados de curación  adoptando su alter ego Deadpool. Armado con sus nuevas habilidades y su retorcido sentido del humor  Deadpool caza al hombre que casi acaba con su vida. Deadpool 2,8.3/10,https://turbobit.net/2doge9mo5ko7.html,https://1fichier.com/?heow0xtjup5ptsd7xm8t&af=2942360,https://mega.nz/#!YgpDCA4L!jbOrY5iZT995p9tYLgLn5Er-StsOE3NFc43God_f9iA
Capitán América: Civil War (2016),Con muchas personas temerosas de los poderes de los súper héroes  el gobierno decide aprobar una ley para supervisar las acciones de ellos. Esto resulta en una división dentro de Los Vengadores. Iron Man y Capitán América ahora están enfrentados  con los otros miembros escogiendo bandos  mientras surge un nuevo villano. Universo Marvel,8.1/10,https://turbobit.net/wa1evl0uekzj.html,https://1fichier.com/?tcc02928rxl13h2o1nfu&af=2942360,https://mega.nz/#!jyRXSa5Y!Vt7ONcXA6jnwN5_1bLI-BVsM0VmQ7TbNoFDZd_ifLXI
